"Domain_Email","Jumlah_Kasus_Penipuan","Porsi_Dr_Total_Penipuan","Persentase_Kerawanan_Domain","Total_Kerugian_IDR","Rata_Rata_Kerugian_IDR"
gmail.com,9943,48.12,4.35,21635134577,2175916.0
"",2790,13.50,2.95,6636771043.5,2378771.0
hotmail.com,2396,11.60,5.30,2550806991.5,1064611.0
yahoo.com,2297,11.12,2.28,7409426870,3225697.0
anonymous.com,859,4.16,2.32,1890601541.5,2200933.0
aol.com,617,2.99,2.18,2133031027.5,3457101.0
outlook.com,482,2.33,9.46,631815464,1310820.0
comcast.net,246,1.19,3.12,1947256475,7915677.0
icloud.com,197,0.95,3.14,345862908,1755649.0
mail.com,106,0.51,18.96,511187070.5,4822520.0
msn.com,90,0.44,2.20,152037051,1689301.0
live.com,84,0.41,2.76,144635491,1721851.0
outlook.es,57,0.28,13.01,42552894,746542.0
bellsouth.net,53,0.26,2.78,197607950,3728452.0
ymail.com,50,0.24,2.09,132002030,2640041.0
live.com.mx,41,0.20,5.47,42653923,1040340.0
aim.com,40,0.19,12.70,62488250,1562206.0
protonmail.com,31,0.15,40.79,63127454.5,2036370.0
att.net,30,0.15,0.74,186799025,6226634.0
cox.net,29,0.14,2.08,213450035,7360346.0
me.com,27,0.13,1.77,75772525,2806390.0
charter.net,25,0.12,3.06,220844000,8833760.0
verizon.net,22,0.11,0.81,101897000,4631682.0
hotmail.es,20,0.10,6.56,13591872.5,679594.0
optonline.net,17,0.08,1.68,33260520,1956501.0
yahoo.com.mx,16,0.08,1.04,18207989.5,1137999.0
mac.com,14,0.07,3.21,44686500,3191893.0
sbcglobal.net,12,0.06,0.40,72384845,6032070.0
gmail,11,0.05,2.22,17993175,1635743.0
earthlink.net,11,0.05,2.14,104160000,9469091.0
embarqmail.com,9,0.04,3.46,20599345,2288816.0
frontier.com,8,0.04,2.86,4681000.0,585125.0
juno.com,6,0.03,1.86,62155000,10359167
frontiernet.net,5,0.02,2.56,22258000,4451600.0
yahoo.fr,5,0.02,3.50,3875000.0,775000.0
suddenlink.net,4,0.02,2.29,6200000.0,1550000.0
cableone.net,3,0.01,1.89,24753500,8251167.0
roadrunner.com,3,0.01,0.98,3503000.0,1167667.0
rocketmail.com,2,0.01,0.30,3564225.0,1782112.0
yahoo.es,2,0.01,1.49,3742893.5,1871447.0
prodigy.net.mx,1,0.00,0.48,1304867.5,1304868.0
sc.rr.com,1,0.00,0.61,8587000.0,8587000.0
netzero.net,1,0.00,0.51,2325000.0,2325000.0
