"Jam_Transaksi","Jumlah_Kasus_Penipuan","Persentase_Kerawanan_Waktu","Total_Kerugian_IDR"
0,1186,3.14,2594068158
1,1027,3.13,2165038651.5
2,1002,3.75,1903600895.5
3,797,3.83,1447200667.5
4,770,5.19,1288408484
5,682,7.03,1226612324.5
6,467,7.77,785926120.5
7,393,10.61,611737461.5
8,241,9.30,601921280.5
9,223,9.00,750943349
10,193,5.32,485663530.5
11,265,3.88,564951750
12,379,3.04,1109035152.5
13,465,2.29,1487220055.5
14,686,2.42,1672227327
15,860,2.54,2321364382
16,1142,2.95,2679013753.5
17,1284,3.15,3167745648.5
18,1467,3.52,3386019857
19,1463,3.47,3540021750
20,1432,3.43,3775283819
21,1416,3.40,3524278307
22,1345,3.27,3419583681
23,1478,3.70,3291728924
